screen_id,source_dataset,platform,manipulated_path,neutralized_path,severity_vision,severity_text,severity_vision_alt,top_category_vision,gt_guilt_wording,selection_reason
music_1--Spotify-1-6_55ff.jpg,contextdp,mobile,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/mobile/images/music_1--Spotify-1-6_55ff.jpg,/content/acmwork/iteration3/data/neutralized/music_1--Spotify-1-6_55ff.jpg,0.0,0.0613634366933856,0.0,urgency,0,severity bin 1/5
1972.jpg,contextdp,mobile,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/mobile/images/1972.jpg,/content/acmwork/iteration3/data/neutralized/1972.jpg,0.0,0.0189064003240296,0.0,urgency,0,severity bin 1/5
(921)www.wolfandbadger.com_c9c9.jpg,contextdp,web,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/(921)www.wolfandbadger.com_c9c9.jpg,/content/acmwork/iteration3/data/neutralized/(921)www.wolfandbadger.com_c9c9.jpg,0.24,0.6042268386983529,0.24,scarcity,0,severity bin 2/5
herringshoes.co.uk.png,contextdp,web,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/herringshoes.co.uk.png,/content/acmwork/iteration3/data/neutralized/herringshoes.co.uk.png,0.24,0.5892129055970936,0.24,scarcity,0,severity bin 2/5
10433.jpg,contextdp,mobile,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/mobile/images/10433.jpg,/content/acmwork/iteration3/data/neutralized/10433.jpg,0.4,0.2678235538614864,0.4,social_proof,0,severity bin 3/5
1368.jpg,contextdp,mobile,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/mobile/images/1368.jpg,/content/acmwork/iteration3/data/neutralized/1368.jpg,0.4,0.1794752748078873,0.7200000000000001,other,0,severity bin 3/5
ONE_8.png,own,own,/content/acmwork/iteration2/data/own_screenshots/ONE_8.png,/content/acmwork/iteration3/data/neutralized/ONE_8.png,0.48,0.7315489003597584,0.48,guilt_wording,1,guilt_wording (hard constraint)
FIVE_2.png,own,own,/content/acmwork/iteration2/data/own_screenshots/FIVE_2.png,/content/acmwork/iteration3/data/neutralized/FIVE_2.png,0.48,0.3635309963562629,0.48,guilt_wording,0,visual-only (hard constraint)
(273)shapermint.com_35e5.jpg,contextdp,web,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/(273)shapermint.com_35e5.jpg,/content/acmwork/iteration3/data/neutralized/(273)shapermint.com_35e5.jpg,0.6307851600000001,0.5303175171622699,0.682909608,urgency,0,severity bin 5/5
dipyourcar.com.png,contextdp,web,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/dipyourcar.com.png,/content/acmwork/iteration3/data/neutralized/dipyourcar.com.png,0.688,0.6769654079502214,0.8544,guilt_wording,0,severity bin 5/5
